faction_key,faction_name,race,evidence_ids,audit_status
wh2_dlc09_skv_clan_rictus,Clan Rictus,skaven,skaven_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc09_tmb_exiles_of_nehek,Exiles of Nehek,tomb_kings,tomb_kings_0;tomb_kings_1,guide reviewed; generic modifier coverage incomplete
wh2_dlc09_tmb_followers_of_nagash,Followers of Nagash,tomb_kings,tomb_kings_0;tomb_kings_1;arkhan_tombs;arkhan_vampires;arkhan_living,guide reviewed; generic modifier coverage incomplete
wh2_dlc09_tmb_khemri,Khemri,tomb_kings,tomb_kings_0;tomb_kings_1;settra_vassal,guide reviewed; generic modifier coverage incomplete
wh2_dlc09_tmb_lybaras,Court of Lybaras,tomb_kings,tomb_kings_0;tomb_kings_1;khalida_lahmia,guide reviewed; generic modifier coverage incomplete
wh2_dlc11_cst_noctilus,The Dreadfleet,vampire_coast,vampire_coast_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc11_cst_pirates_of_sartosa,Pirates of Sartosa,vampire_coast,vampire_coast_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc11_cst_the_drowned,The Drowned,vampire_coast,vampire_coast_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc11_cst_vampire_coast,The Awakened,vampire_coast,vampire_coast_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc11_def_the_blessed_dread,The Blessed Dread,dark_elves,dark_elves_0;dark_elves_1,guide reviewed; generic modifier coverage incomplete
wh2_dlc11_vmp_the_barrow_legion,The Barrow Legion,vampire_counts,vampire_counts_0;kemmler_chaos,guide reviewed; generic modifier coverage incomplete
wh2_dlc12_lzd_cult_of_sotek,Cult of Sotek,lizardmen,lizardmen_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc13_emp_golden_order,The Golden Order,empire,empire_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,empire,empire_0;huntsmarshal_lizards,guide reviewed; generic modifier coverage incomplete
wh2_dlc13_lzd_spirits_of_the_jungle,Spirit of the Jungle,lizardmen,lizardmen_0;nakai_vassal,guide reviewed; generic modifier coverage incomplete
wh2_dlc14_brt_chevaliers_de_lyonesse,Chevaliers de Lyonesse,bretonnia,bretonnia_0;repanse_undead,guide reviewed; generic modifier coverage incomplete
wh2_dlc15_grn_bonerattlaz,Bonerattlaz,greenskins,greenskins_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc15_grn_broken_axe,Broken Axe,greenskins,greenskins_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc15_hef_imrik,Knights of Caledor,high_elves,high_elves_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc16_wef_drycha,Wargrove of Woe,wood_elves,wood_elves_0;wood_elves_1,guide reviewed; generic modifier coverage incomplete
wh2_dlc16_wef_sisters_of_twilight,Heralds of Ariel,wood_elves,wood_elves_0;wood_elves_1,guide reviewed; generic modifier coverage incomplete
wh2_dlc17_bst_malagor,Harbinger of Disaster,beastmen,beastmen_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc17_bst_taurox,Slaughterhorn Tribe,beastmen,beastmen_0,guide reviewed; generic modifier coverage incomplete
wh2_dlc17_dwf_thorek_ironbrow,Ironbrow's Expedition,dwarfs,dwarfs_0;dwarfs_1,guide reviewed; generic modifier coverage incomplete
wh2_dlc17_lzd_oxyotl,Ghosts of Pahuax,lizardmen,lizardmen_0,guide reviewed; generic modifier coverage incomplete
wh2_main_def_cult_of_pleasure,Cult of Pleasure,dark_elves,dark_elves_0;dark_elves_1,guide reviewed; generic modifier coverage incomplete
wh2_main_def_hag_graef,Hag Graef,dark_elves,dark_elves_0;dark_elves_1;malus_daemons,guide reviewed; generic modifier coverage incomplete
wh2_main_def_har_ganeth,Har Ganeth,dark_elves,dark_elves_0;dark_elves_1,guide reviewed; generic modifier coverage incomplete
wh2_main_def_naggarond,Naggarond,dark_elves,dark_elves_0;dark_elves_1,guide reviewed; generic modifier coverage incomplete
wh2_main_hef_avelorn,Avelorn,high_elves,high_elves_0,guide reviewed; generic modifier coverage incomplete
wh2_main_hef_eataine,Eataine,high_elves,high_elves_0,guide reviewed; generic modifier coverage incomplete
wh2_main_hef_nagarythe,Nagarythe,high_elves,high_elves_0,guide reviewed; generic modifier coverage incomplete
wh2_main_hef_order_of_loremasters,Order of Loremasters,high_elves,high_elves_0,guide reviewed; generic modifier coverage incomplete
wh2_main_hef_yvresse,Yvresse,high_elves,high_elves_0,guide reviewed; generic modifier coverage incomplete
wh2_main_lzd_hexoatl,Hexoatl,lizardmen,lizardmen_0,guide reviewed; generic modifier coverage incomplete
wh2_main_lzd_itza,Itza,lizardmen,lizardmen_0,guide reviewed; generic modifier coverage incomplete
wh2_main_lzd_last_defenders,Last Defenders,lizardmen,lizardmen_0,guide reviewed; generic modifier coverage incomplete
wh2_main_lzd_tlaqua,Tlaqua,lizardmen,lizardmen_0,guide reviewed; generic modifier coverage incomplete
wh2_main_skv_clan_eshin,Clan Eshin,skaven,skaven_0;eshin_contracts,guide reviewed; generic modifier coverage incomplete
wh2_main_skv_clan_mors,Clan Mors,skaven,skaven_0,guide reviewed; generic modifier coverage incomplete
wh2_main_skv_clan_moulder,Clan Moulder,skaven,skaven_0,guide reviewed; generic modifier coverage incomplete
wh2_main_skv_clan_pestilens,Clan Pestilens,skaven,skaven_0,guide reviewed; generic modifier coverage incomplete
