faction_key,faction_name,previous_capital_proxy,human_start_region,primary_world_x,primary_world_y,position_kind,nearest_land_anchor,script_rule_indexes
wh2_dlc09_skv_clan_rictus,Clan Rictus,wh3_main_combi_region_crookback_mountain,wh3_main_combi_region_crookback_mountain,555.8037719726562,407.2878112792969,land_raster_point,wh3_main_combi_region_crookback_mountain,[]
wh2_dlc09_tmb_exiles_of_nehek,Exiles of Nehek,wh3_main_combi_region_clarak_spire,wh3_main_combi_region_clarak_spire,15.364767074584961,511.8096008300781,land_raster_point,wh3_main_combi_region_clarak_spire,[]
wh2_dlc09_tmb_followers_of_nagash,Followers of Nagash,wh3_main_combi_region_wizard_caliphs_palace,wh3_main_combi_region_lashiek,298.61090087890625,233.3419952392578,land_raster_point,wh3_main_combi_region_lashiek,[]
wh2_dlc09_tmb_khemri,Khemri,wh3_main_combi_region_khemri,wh3_main_combi_region_khemri,417.5208435058594,224.85682678222656,land_raster_point,wh3_main_combi_region_khemri,[]
wh2_dlc09_tmb_lybaras,Court of Lybaras,wh3_main_combi_region_lybaras,wh3_main_combi_region_lybaras,535.7627563476562,235.2704315185547,land_raster_point,wh3_main_combi_region_lybaras,[]
wh2_dlc11_cst_noctilus,The Dreadfleet,wh3_main_combi_region_the_galleons_graveyard,,120.24600219726562,398.0312805175781,maritime_point_no_distinct_region,wh3_main_combi_region_vauls_anvil_ulthuan,[]
wh2_dlc11_cst_pirates_of_sartosa,Pirates of Sartosa,wh3_main_combi_region_sartosa,wh3_main_combi_region_luccini,339.3609619140625,307.0086364746094,land_raster_point,wh3_main_combi_region_luccini,[]
wh2_dlc11_cst_the_drowned,The Drowned,wh3_main_combi_region_the_twisted_glade,wh3_main_combi_region_the_twisted_glade,130.26651000976562,546.5216064453125,land_raster_point,wh3_main_combi_region_the_twisted_glade,[]
wh2_dlc11_cst_vampire_coast,The Awakened,wh3_main_combi_region_the_awakening,wh3_main_combi_region_the_awakening,188.38540649414062,207.5008087158203,land_raster_point,wh3_main_combi_region_the_awakening,[]
wh2_dlc11_def_the_blessed_dread,The Blessed Dread,wh3_main_combi_region_haichai,wh3_main_combi_region_zhizhu,896.5007934570312,456.6560363769531,land_raster_point,wh3_main_combi_region_zhizhu,[]
wh2_dlc11_vmp_the_barrow_legion,The Barrow Legion,wh3_main_combi_region_blackstone_post,wh3_main_combi_region_blackstone_post,301.9510803222656,477.4832763671875,land_raster_point,wh3_main_combi_region_blackstone_post,[]
wh2_dlc12_lzd_cult_of_sotek,Cult of Sotek,wh3_main_combi_region_xlanzec,wh3_main_combi_region_kaiax,141.62307739257812,86.3943862915039,land_raster_point,wh3_main_combi_region_kaiax,[]
wh2_dlc13_emp_golden_order,The Golden Order,,wh3_main_combi_region_temple_of_elemental_winds,759.553955078125,348.2773742675781,land_raster_point,wh3_main_combi_region_temple_of_elemental_winds,[]
wh2_dlc13_emp_the_huntmarshals_expedition,The Huntsmarshal's Expedition,wh3_main_combi_region_temple_of_kara,wh3_main_combi_region_temple_of_kara,86.17630004882812,278.8533020019531,land_raster_point,wh3_main_combi_region_temple_of_kara,[]
wh2_dlc13_lzd_spirits_of_the_jungle,Spirit of the Jungle,,wh3_main_combi_region_tower_of_ashung,876.4597778320312,284.6386413574219,land_raster_point,wh3_main_combi_region_tower_of_ashung,[]
wh2_dlc14_brt_chevaliers_de_lyonesse,Chevaliers de Lyonesse,wh3_main_combi_region_copher,wh3_main_combi_region_copher,325.3322448730469,258.7974548339844,land_raster_point,wh3_main_combi_region_copher,[]
wh2_dlc15_grn_bonerattlaz,Bonerattlaz,wh3_main_combi_region_khazid_irkulaz,wh3_main_combi_region_khazid_irkulaz,529.7504272460938,534.1795654296875,land_raster_point,wh3_main_combi_region_khazid_irkulaz,[]
wh2_dlc15_grn_broken_axe,Broken Axe,wh3_main_combi_region_massif_orcal,wh3_main_combi_region_quenelles,292.5986022949219,431.971923828125,land_raster_point,wh3_main_combi_region_quenelles,[]
wh2_dlc15_hef_imrik,Knights of Caledor,wh3_main_combi_region_the_fortress_of_vorag,wh3_main_combi_region_the_bone_gulch,573.172607421875,330.9213562011719,land_raster_point,wh3_main_combi_region_the_bone_gulch,[]
wh2_dlc16_wef_drycha,Wargrove of Woe,wh3_main_combi_region_gryphon_wood,wh3_main_combi_region_gryphon_wood,444.91021728515625,521.4518432617188,land_raster_point,wh3_main_combi_region_gryphon_wood,[]
wh2_dlc16_wef_sisters_of_twilight,Heralds of Ariel,wh3_main_combi_region_the_witchwood,wh3_main_combi_region_the_witchwood,54.11070251464844,519.5233764648438,land_raster_point,wh3_main_combi_region_the_witchwood,[]
wh2_dlc17_bst_malagor,Harbinger of Disaster,,wh3_main_combi_region_sunken_khernarch,437.5618591308594,278.8533020019531,land_raster_point,wh3_main_combi_region_sunken_khernarch,[]
wh2_dlc17_bst_taurox,Slaughterhorn Tribe,,wh3_main_combi_region_clar_karond,65.46726989746094,562.3348999023438,land_raster_point,wh3_main_combi_region_clar_karond,[]
wh2_dlc17_dwf_thorek_ironbrow,Ironbrow's Expedition,wh3_main_combi_region_karak_zorn,wh3_main_combi_region_karak_zorn,459.6069641113281,175.1029052734375,land_raster_point,wh3_main_combi_region_karak_zorn,[]
wh2_dlc17_lzd_oxyotl,Ghosts of Pahuax,wh3_main_combi_region_the_godless_crater,wh3_main_combi_region_the_godless_crater,172.35260009765625,23.91273307800293,land_raster_point,wh3_main_combi_region_the_godless_crater,[]
wh2_main_def_cult_of_pleasure,Cult of Pleasure,wh3_main_combi_region_ancient_city_of_quintex,wh3_main_combi_region_ancient_city_of_quintex,49.43446731567383,442.771240234375,land_raster_point,wh3_main_combi_region_ancient_city_of_quintex,[]
wh2_main_def_hag_graef,Hag Graef,wh3_main_combi_region_hag_graef,wh3_main_combi_region_black_rock,389.46343994140625,718.5390014648438,land_raster_point,wh3_main_combi_region_black_rock,[]
wh2_main_def_har_ganeth,Har Ganeth,wh3_main_combi_region_har_ganeth,wh3_main_combi_region_har_ganeth,132.9386444091797,642.1725463867188,land_raster_point,wh3_main_combi_region_har_ganeth,[]
wh2_main_def_naggarond,Naggarond,wh3_main_combi_region_naggarond,wh3_main_combi_region_har_kaldra,66.13529968261719,644.4866943359375,land_raster_point,wh3_main_combi_region_har_kaldra,[]
wh2_main_hef_avelorn,Avelorn,wh3_main_combi_region_gaean_vale,wh3_main_combi_region_gaean_vale,175.0247344970703,449.7136535644531,land_raster_point,wh3_main_combi_region_gaean_vale,[]
wh2_main_hef_eataine,Eataine,wh3_main_combi_region_lothern,wh3_main_combi_region_lothern,166.34030151367188,396.87420654296875,land_raster_point,wh3_main_combi_region_lothern,[]
wh2_main_hef_nagarythe,Nagarythe,wh3_main_combi_region_the_monoliths,wh3_main_combi_region_the_monoliths,141.62307739257812,587.7904052734375,land_raster_point,wh3_main_combi_region_the_monoliths,[]
wh2_main_hef_order_of_loremasters,Order of Loremasters,wh3_main_combi_region_fortress_of_dawn,wh3_main_combi_region_dawns_light,392.1355895996094,55.9249382019043,land_raster_point,wh3_main_combi_region_dawns_light,[]
