profile,unit_name,state,status,unit_rank_condition,total_hp_min,total_hp_max,armour_min,armour_max,leadership_min,leadership_max,melee_attack_min,melee_attack_max,melee_defence_min,melee_defence_max,weapon_base_damage_min,weapon_base_damage_max,weapon_ap_damage_min,weapon_ap_damage_max,speed_min,speed_max,charge_bonus_min,charge_bonus_max,physical_resistance_min,physical_resistance_max,missile_resistance_min,missile_resistance_max,spell_resistance_min,spell_resistance_max,ward_save_min,ward_save_max,shield_block_chance_min,shield_block_chance_max,barrier_health_min,barrier_health_max,bonus_vs_large_min,bonus_vs_large_max,bonus_vs_infantry_min,bonus_vs_infantry_max,raw_rate_min,raw_rate_max,ap_rate_min,ap_rate_max
bhashiva_iron_claws,Iron Claw Tiger Warriors,rank0_neutral,known_modifier_subtotal; not a complete card or ceiling,0,8800.0,8800.0,85.0,85.0,81.0,81.0,50.0,50.0,60.0,60.0,12.0,12.0,38.0,38.0,6.16,6.16,35.0,35.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,1052.6315789473686,1052.6315789473686,800.0,800.0
bhashiva_iron_claws,Iron Claw Tiger Warriors,rank9_neutral,known_modifier_subtotal; not a complete card or ceiling,9,8800.0,8800.0,85.0,85.0,87.0,87.0,50.0,50.0,65.0,65.0,12.0,12.0,38.0,38.0,6.16,6.16,35.0,35.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,1052.6315789473686,1052.6315789473686,800.0,800.0
bhashiva_iron_claws,Iron Claw Tiger Warriors,rank9_attack_chaos_ambush,known_modifier_subtotal; not a complete card or ceiling,9,8800.0,8800.0,85.0,85.0,105.0,105.0,64.0,64.0,73.0,73.0,13.200000000000001,13.200000000000001,41.800000000000004,41.800000000000004,6.16,6.16,35.0,35.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,1157.8947368421057,1157.8947368421057,880.0000000000001,880.0000000000001
bhashiva_iron_claws,Iron Claw Tiger Warriors,rank9_siege_defence_chaos,known_modifier_subtotal; not a complete card or ceiling,9,8800.0,8800.0,85.0,85.0,111.0,111.0,61.0,61.0,69.0,69.0,12.0,12.0,38.0,38.0,6.16,6.16,35.0,35.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,1052.6315789473686,1052.6315789473686,800.0,800.0
thorgrim_hammerers,Hammerers,rank0_neutral,known_modifier_subtotal; not a complete card or ceiling,0,10000.0,10000.0,110.0,110.0,80.0,80.0,52.0,52.0,38.0,38.0,17.08,17.08,50.019999999999996,50.019999999999996,3.08,3.08,24.0,24.0,20.0,20.0,15.0,15.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.6190476190473,1597.6190476190473,1190.952380952381,1190.952380952381
thorgrim_hammerers,Hammerers,rank9_neutral,known_modifier_subtotal; not a complete card or ceiling,9,10000.0,10000.0,110.0,110.0,80.0,80.0,57.0,57.0,38.0,38.0,18.76,18.76,54.940000000000005,54.940000000000005,3.08,3.08,24.0,24.0,30.0,30.0,15.0,15.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754.7619047619046,1754.7619047619046,1308.0952380952383,1308.0952380952383
thorgrim_hammerers,Hammerers,rank9_attack_chaos_ambush,known_modifier_subtotal; not a complete card or ceiling,9,10000.0,10000.0,110.0,110.0,80.0,80.0,57.0,57.0,38.0,38.0,20.16,20.16,59.04,59.04,3.08,3.08,24.0,24.0,30.0,30.0,15.0,15.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1885.7142857142856,1885.7142857142856,1405.7142857142856,1405.7142857142856
thorgrim_hammerers,Hammerers,rank9_siege_defence_chaos,known_modifier_subtotal; not a complete card or ceiling,9,10000.0,10000.0,110.0,110.0,80.0,80.0,57.0,57.0,38.0,38.0,20.16,20.16,59.04,59.04,3.08,3.08,24.0,24.0,30.0,30.0,15.0,15.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1885.7142857142856,1885.7142857142856,1405.7142857142856,1405.7142857142856
grimgor_black_orcs,Black Orcs (Great Weapons),rank0_neutral,known_modifier_subtotal; not a complete card or ceiling,0,10800.0,10800.0,120.0,120.0,72.0,72.0,48.0,48.0,32.0,32.0,16.38,16.38,51.12,52.65,2.9,2.9,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459.4594594594594,1492.5405405405404,1105.2972972972973,1138.3783783783783
grimgor_black_orcs,Black Orcs (Great Weapons),rank9_neutral,known_modifier_subtotal; not a complete card or ceiling,9,10800.0,10800.0,132.0,132.0,72.0,72.0,48.0,48.0,37.0,37.0,16.38,16.38,51.12,52.65,2.9,2.9,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459.4594594594594,1492.5405405405404,1105.2972972972973,1138.3783783783783
