race,k,A1,optimization_repeatability__A1__mean,optimization_repeatability__A1__std,optimization_repeatability__A1__q05,optimization_repeatability__A1__q95,local_robustness__A1__mean,local_robustness__A1__std,local_robustness__A1__q05,local_robustness__A1__q95,structural_stress__A1__mean,structural_stress__A1__std,structural_stress__A1__q05,structural_stress__A1__q95,A2,optimization_repeatability__A2__mean,optimization_repeatability__A2__std,optimization_repeatability__A2__q05,optimization_repeatability__A2__q95,local_robustness__A2__mean,local_robustness__A2__std,local_robustness__A2__q05,local_robustness__A2__q95,structural_stress__A2__mean,structural_stress__A2__std,structural_stress__A2__q05,structural_stress__A2__q95,A3,optimization_repeatability__A3__mean,optimization_repeatability__A3__std,optimization_repeatability__A3__q05,optimization_repeatability__A3__q95,local_robustness__A3__mean,local_robustness__A3__std,local_robustness__A3__q05,local_robustness__A3__q95,structural_stress__A3__mean,structural_stress__A3__std,structural_stress__A3__q05,structural_stress__A3__q95,normalized_entropy,optimization_repeatability__tv_mean,optimization_repeatability__tv_q95,optimization_repeatability__tv_max,local_robustness__tv_mean,local_robustness__tv_q95,local_robustness__tv_max,structural_stress__tv_mean,structural_stress__tv_q95,structural_stress__tv_max,A4,optimization_repeatability__A4__mean,optimization_repeatability__A4__std,optimization_repeatability__A4__q05,optimization_repeatability__A4__q95,local_robustness__A4__mean,local_robustness__A4__std,local_robustness__A4__q05,local_robustness__A4__q95,structural_stress__A4__mean,structural_stress__A4__std,structural_stress__A4__q05,structural_stress__A4__q95,A5,optimization_repeatability__A5__mean,optimization_repeatability__A5__std,optimization_repeatability__A5__q05,optimization_repeatability__A5__q95,local_robustness__A5__mean,local_robustness__A5__std,local_robustness__A5__q05,local_robustness__A5__q95,structural_stress__A5__mean,structural_stress__A5__std,structural_stress__A5__q05,structural_stress__A5__q95,A6,optimization_repeatability__A6__mean,optimization_repeatability__A6__std,optimization_repeatability__A6__q05,optimization_repeatability__A6__q95,local_robustness__A6__mean,local_robustness__A6__std,local_robustness__A6__q05,local_robustness__A6__q95,structural_stress__A6__mean,structural_stress__A6__std,structural_stress__A6__q05,structural_stress__A6__q95,A7,optimization_repeatability__A7__mean,optimization_repeatability__A7__std,optimization_repeatability__A7__q05,optimization_repeatability__A7__q95,local_robustness__A7__mean,local_robustness__A7__std,local_robustness__A7__q05,local_robustness__A7__q95,structural_stress__A7__mean,structural_stress__A7__std,structural_stress__A7__q05,structural_stress__A7__q95,A8,optimization_repeatability__A8__mean,optimization_repeatability__A8__std,optimization_repeatability__A8__q05,optimization_repeatability__A8__q95,local_robustness__A8__mean,local_robustness__A8__std,local_robustness__A8__q05,local_robustness__A8__q95,structural_stress__A8__mean,structural_stress__A8__std,structural_stress__A8__q05,structural_stress__A8__q95
beastmen,3,0.000000000,0.017732071,0.050153871,0.000000000,0.092206770,0.039601294,0.065718699,0.000000000,0.161169397,0.063449122,0.080362037,0.000000000,0.214620725,0.379149503,0.331586164,0.133981407,0.132438858,0.379195842,0.275030238,0.176826371,0.000000000,0.461165410,0.377683313,0.356578750,0.000000000,1.000000000,0.620850497,0.650681765,0.083827754,0.620804158,0.775354372,0.685368468,0.115114800,0.538834590,0.867970393,0.558867565,0.325037589,0.000000000,0.965367804,0.604076833,0.047581887,0.246710645,0.379149503,0.134425337,0.379149503,0.379149503,0.309372002,0.620850497,0.620850497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bretonnia,3,0.903408152,0.915536312,0.034128515,0.903413072,0.966233180,0.934622905,0.047501606,0.873385741,1.000000000,0.880105230,0.218413948,0.573369593,1.000000000,0.096591848,0.084463688,0.034128515,0.033766820,0.096586928,0.065377095,0.047501606,0.000000000,0.126614259,0.106156467,0.221411946,0.000000000,0.426630407,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.013738303,0.038327703,0.000000000,0.107650670,0.289027628,0.012128159,0.062825027,0.096591848,0.042633581,0.096591848,0.096591848,0.135469569,0.330038560,0.903408152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaos_dwarfs,3,0.533698304,0.467009159,0.188700244,0.186732058,0.533857115,0.389680451,0.245145321,0.000000000,0.586698255,0.350456318,0.296995856,0.000000000,0.829998081,0.000000000,0.125000000,0.353553391,0.000000000,0.650000000,0.275000000,0.452202587,0.000000000,1.000000000,0.355599179,0.457995459,0.000000000,1.000000000,0.466301696,0.407990841,0.164853249,0.163148575,0.466472521,0.335319549,0.211574258,0.000000000,0.520124041,0.293944503,0.280962134,0.000000000,0.839450405,0.628860895,0.125106988,0.650062348,1.000000000,0.295780637,1.000000000,1.000000000,0.464425288,1.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daemons_of_chaos,3,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.070349844,0.211878883,0.000000000,0.344163329,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,0.929650156,0.211878883,0.655836671,1.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.070349844,0.344163329,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark_elves,3,0.387234297,0.361664624,0.072507563,0.253880394,0.387527454,0.334952519,0.100820440,0.160097005,0.456462356,0.342119279,0.202727624,0.000000000,0.602921310,0.180717435,0.257834856,0.218453056,0.180429621,0.582291947,0.346643690,0.276095207,0.120952530,0.812568537,0.354183465,0.329477054,0.000000000,0.941004716,0.432048268,0.380500519,0.145945815,0.163755569,0.432250068,0.318403791,0.182462181,0.021165239,0.459083284,0.303697256,0.207288993,0.012249100,0.675466148,0.945863053,0.077403100,0.401649704,0.617761027,0.195266082,0.631851102,0.659612471,0.323681798,0.760287281,0.819282565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dwarfs,3,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,0.976518425,0.125285765,0.928664353,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.013835464,0.065314449,0.000000000,0.071335647,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.009646112,0.061007366,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.023481575,0.071335647,0.789263370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
empire,3,1.000000000,0.979746915,0.057284375,0.894683959,1.000000000,0.954493496,0.075378944,0.813644720,1.000000000,0.864620847,0.169376237,0.574536874,1.000000000,0.000000000,0.020253085,0.057284375,0.000000000,0.105316041,0.045506504,0.075378944,0.000000000,0.186355280,0.118838364,0.174182754,0.000000000,0.425463126,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.016540789,0.048793879,0.000000000,0.125695629,-0.000000000,0.020253085,0.105316041,0.162024679,0.045506504,0.186355280,0.193620069,0.135379153,0.425463126,0.770683807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand_cathay,3,0.629176041,0.610562845,0.052969041,0.531772023,0.629570245,0.592241663,0.084604619,0.460181963,0.709992897,0.559476499,0.223637878,0.111278082,0.853309245,0.195736287,0.236199531,0.114885850,0.195387821,0.406871585,0.281912897,0.153942998,0.145206590,0.539818037,0.326728873,0.283359769,0.000000000,0.888721918,0.175087671,0.153237624,0.061917467,0.061262664,0.175320399,0.125845440,0.081580539,0.000000000,0.210805212,0.113794629,0.130546464,0.000000000,0.348792739,0.833645458,0.040824231,0.211255495,0.324790921,0.123164716,0.344081750,0.376132161,0.255441244,0.692985631,0.804263713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenskins,3,0.223844426,0.241395766,0.049477301,0.223659856,0.314929440,0.270039626,0.066814130,0.195092268,0.384185228,0.323588028,0.154408481,0.019826154,0.505847760,0.345843898,0.332302781,0.037934643,0.275925361,0.345847746,0.305415733,0.053127774,0.209000442,0.378610240,0.288009188,0.177012387,0.064162594,0.667000832,0.430311677,0.426301453,0.011542907,0.409131223,0.430532531,0.424544642,0.022040943,0.388684148,0.460157404,0.388402784,0.109251558,0.225587034,0.532224445,0.969509928,0.017660883,0.091093284,0.140000678,0.062887892,0.160340802,0.183488424,0.201781916,0.359501799,0.430311677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_elves,3,0.222453109,0.194649700,0.078650472,0.077788253,0.222582544,0.164855698,0.105535663,0.000000000,0.269423076,0.154379954,0.168873066,0.000000000,0.439629899,0.000000000,0.095973334,0.271453582,0.000000000,0.499061338,0.207286404,0.341020529,0.000000000,0.765935772,0.292158993,0.332775733,0.000000000,0.868608537,0.777546891,0.709376966,0.192803273,0.423033762,0.777746849,0.627857897,0.239448658,0.234064228,0.803303468,0.553461054,0.263484282,0.119096811,0.984067290,0.482422504,0.096076329,0.499131674,0.767786674,0.223788918,0.765935772,0.801698309,0.363965223,0.868608537,0.984920750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
