race,movement,deployment,shock,contact_authority,block_geometry,melee_pressure,missile_pressure,bombardment,target_solutions,burst,sustain,block_damage,material_durability,avoidance,morale,restoration,block_survival,role_coverage,elite_orientation,battlefield_control,command_magic,block_architecture
beastmen,79.069493564,92.992133999,65.975865334,70.467987089,77.126369997,77.029045653,40.189032399,20.402728076,35.343973852,54.718595698,13.687720414,40.228516015,30.625301696,100.000000000,61.622079546,28.815591839,55.265743270,74.131241877,77.326889782,59.329766434,60.000000000,67.696974523
bretonnia,56.713102590,13.238353059,53.508601600,0.000000000,30.865014312,0.000000000,63.722766298,88.299983715,0.748033703,29.567717074,8.688170244,31.837778506,0.000000000,0.000000000,65.651707110,0.000000000,16.412926777,29.860439021,63.262755394,9.172893584,68.750000000,42.761522000
chaos_dwarfs,39.302980918,0.000000000,59.330587114,98.445558062,49.269781524,55.653802975,84.404911444,97.125170623,55.330806250,75.549173809,84.694695958,75.459760177,54.711383148,24.328055611,72.907705545,0.000000000,37.986786076,91.765828820,72.048245104,45.571892844,65.000000000,68.596491692
daemons_of_chaos,100.000000000,67.744645655,100.000000000,86.978793283,88.680859734,100.000000000,76.312383128,42.965568191,100.000000000,64.607667739,93.755809025,79.606904680,75.755870023,83.073769271,84.535318548,85.393634798,82.189648160,79.538283213,58.089367146,97.761464802,6.250000000,60.409778790
dark_elves,43.488485525,29.643521471,59.230261087,76.648531800,52.252699971,66.653948433,76.708651471,44.464084599,46.432717329,61.565415582,79.034172386,62.476498300,28.402694776,36.514088600,59.934781104,16.741772409,35.398334222,97.336469093,43.845858018,34.331713298,66.250000000,60.441010102
dwarfs,0.000000000,18.752072544,0.000000000,41.432516796,15.046147335,21.234476299,96.969767310,96.282693411,36.408016512,31.435499393,76.001160927,59.721935642,76.690267568,10.720638768,98.126301653,0.000000000,46.384301997,0.000000000,0.000000000,3.773809288,35.000000000,9.693452322
empire,52.287782689,11.029466979,39.018989294,46.170857129,37.126774023,2.157176860,100.000000000,100.000000000,0.000000000,58.402535276,67.410791850,54.661750664,7.731482892,21.919343778,77.096289028,0.000000000,26.686778924,34.898584458,61.864381778,0.000000000,100.000000000,49.190741559
grand_cathay,44.413045261,24.298017157,51.339146164,61.190418168,45.310156687,34.238237782,83.678524602,66.412750196,5.416424913,45.916152549,38.872540830,45.755771812,18.168634842,25.324484613,60.870585347,0.000000000,26.090926201,96.170295916,45.777040003,30.596451323,93.750000000,66.573446811
greenskins,73.346230459,28.160028203,58.818081556,66.783640117,56.776995084,63.215400597,64.506080181,85.850375362,32.600684515,45.193050529,44.791776449,56.026227939,33.219741939,42.990045630,66.948718804,51.299998901,48.614626318,97.397621708,42.777193881,39.371296058,41.250000000,55.199027912
high_elves,67.064569205,34.863347783,64.489243797,97.777446968,66.048651938,65.848033538,68.989762737,30.180128604,27.972724095,55.826232727,77.459292578,54.379362380,60.058630459,72.724392383,97.010672554,11.019774405,60.203367450,100.000000000,57.243951497,42.772481319,100.000000000,75.004108204
khorne,74.519812436,20.527677123,66.896015695,59.666737582,55.402560709,80.353259957,48.694937685,17.531109963,66.688274953,53.274019005,36.341622317,50.480537313,100.000000000,25.688188848,63.922418257,32.495733661,55.526585191,68.804686978,56.018576653,18.327047856,0.000000000,35.787577871
kislev,77.218361751,50.254713653,71.147022592,53.705973533,63.081517882,79.795696085,61.276042787,0.000000000,54.589544380,37.406965847,52.837685160,47.650989043,33.664185911,43.760313190,63.691169828,0.000000000,35.278917232,71.765559902,54.111676618,57.219522164,77.500000000,65.149189671
lizardmen,75.130656601,49.320507178,53.484888791,94.324645873,68.065174611,85.123314696,78.494400882,61.828103319,95.302309369,81.344360184,100.000000000,83.682081408,66.027431963,78.392276223,54.503710007,0.000000000,49.730854548,74.397958415,47.526144091,98.647255862,100.000000000,80.142839592
norsca,75.449274159,19.278078712,68.955985840,79.556360978,60.809924922,84.584077364,42.683831452,30.673063212,46.596577751,37.068016230,44.251487014,47.642842171,50.269818472,69.665306502,80.022129460,61.784523644,65.435444520,69.964325300,38.418523539,79.802701807,71.250000000,64.858887662
nurgle,71.187924691,21.985541936,57.777365228,43.577971134,48.632200747,75.821324072,38.488990940,18.861802917,18.866309208,37.514742905,32.203707566,36.959479601,66.585344531,28.932830329,70.146890152,48.366672549,53.507934390,71.026938756,79.551625779,100.000000000,52.500000000,75.769641134
ogre_kingdoms,36.386693119,19.740094983,74.586045363,100.000000000,57.678208366,93.025556483,70.168868045,53.123213273,37.217680537,100.000000000,48.377660724,66.985496510,33.872732799,19.534446985,73.142807175,0.000000000,31.637496740,67.743407573,100.000000000,44.876453811,71.250000000,70.967465346
skaven,57.080485113,38.993964753,44.481819634,45.663727957,46.554999364,33.569499205,75.780285601,71.139340865,59.087620088,23.132821530,34.526655249,49.539370423,1.370543056,10.380295828,39.990700898,30.600906710,20.585611623,82.605961829,16.702337703,49.059520742,53.750000000,50.529455068
slaanesh,93.352963583,72.427664462,97.379559936,56.505518987,79.916426742,72.870130623,27.692743178,0.000000000,61.529913919,36.398811213,0.000000000,33.081933156,56.681462222,81.048778004,90.166708926,0.000000000,56.974237288,62.259945564,82.834455448,82.246843597,47.500000000,68.710311152
tomb_kings,40.096677411,21.985541936,48.870383334,81.230754667,48.045839337,44.299358356,74.678607503,77.030197642,53.722760916,39.881091931,39.137566867,54.791597202,29.133197158,8.001717125,10.823673379,0.000000000,11.989646915,91.585864361,70.075456957,77.814996135,63.750000000,75.806579363
tzeentch,67.378168574,39.715059177,54.843324109,67.599763082,57.384078736,73.970646962,81.197391694,27.617480091,80.359932656,61.266867542,83.475401464,67.981286735,56.877631351,49.168175107,71.770577840,100.000000000,69.454096074,72.386736863,89.667086784,53.840463466,53.750000000,67.411071778
vampire_coast,39.634241043,35.864414955,16.109020424,79.071971627,42.669912012,76.161861858,84.527150157,81.082451243,20.781203249,0.000000000,37.533503135,50.014361607,15.512262867,35.002502173,45.284733203,48.496661753,36.074039999,69.481773963,43.844202377,76.330842566,58.750000000,62.101704727
vampire_counts,69.186470069,48.693625308,48.190267831,55.906199846,55.494140764,45.607837826,0.000000000,0.000000000,32.172381346,24.042007477,18.805666668,20.104648886,15.647537214,47.678119073,0.000000000,89.222934395,38.137147670,36.232114807,50.873462453,80.226745684,63.750000000,57.770580736
warriors_of_chaos,90.088158783,39.163380236,86.094223797,78.639970898,73.496433429,87.595653558,53.651613523,55.605388818,56.855939229,53.881675099,37.406903161,57.499528898,94.325915158,70.946110678,100.000000000,63.420526118,82.173137989,95.867085216,56.359065657,81.841197648,88.750000000,80.704337130
wood_elves,80.740024719,100.000000000,56.762849885,48.929364303,71.608059727,38.177778259,60.822625122,0.000000000,31.726736258,37.755213136,11.607408762,30.014960256,39.405515883,81.637432025,74.393964273,0.000000000,48.859228045,70.267983070,51.527100691,37.111767387,81.250000000,60.039212787
