race,movement,deployment,shock,contact_authority,block_geometry,melee_pressure,missile_pressure,bombardment,target_solutions,burst,sustain,block_damage,material_durability,avoidance,morale,restoration,block_survival,role_coverage,elite_orientation,battlefield_control,command_magic,block_architecture
beastmen,79.30985620668415,93.25429336565414,65.85581518796461,73.02183647123019,77.86045030788327,77.0189306118019,44.25422365934312,30.018524448930457,38.07763321599634,56.19458761032749,19.708788619858865,44.21211469437636,28.518924153882683,100.0,61.913711584015914,28.93926791389918,54.84297591294945,74.13124187673588,77.32688978160327,59.840876483631135,60.0,67.82475203549257
bretonnia,56.097030319238705,16.429498999231257,53.095046170727805,0.0,31.40539387229944,0.0,64.01176660519046,88.43995789193032,1.8332954779484307,28.70891909996417,6.644408401537371,31.606391246095125,0.0,0.0,65.80199676395893,0.0,16.45049919098973,29.86043902127287,63.26275539408859,8.18852163151653,68.75,42.5154290117195
chaos_dwarfs,37.00118444513036,0.0,58.021791987798004,96.02322006986962,47.7615491256995,56.3578930431521,83.8807071420144,100.0,57.4823367482631,76.43574910985947,84.9791595934254,76.5226409394524,53.313402450331054,25.267711273516603,73.91830633989233,0.0,38.124855015935,91.76582882013476,72.04824510417325,45.424770826853056,65.0,68.55971118779027
daemons_of_chaos,100.0,68.14834482675452,100.0,88.27881060015477,89.10678885672732,100.0,76.25345766246461,46.691783302465026,100.0,65.02657141587912,95.38915783776085,80.56016170309493,74.03790808088839,82.04256659588606,84.35025126893014,85.00855474430168,81.35982017250157,79.53828321256233,58.089367146320704,97.76007964161272,6.25,60.40943250012394
dark_elves,43.75605811130036,29.976800821159067,58.61286903562275,77.77248537734594,52.52955333635704,68.32258833812347,75.69714991972164,45.42965312157286,47.9064057111067,62.592774001361626,82.0389410170677,63.66458535149234,29.09346308830105,37.779937501671,61.115678723325416,21.264380157433816,37.31336486768282,97.33646909336252,43.845858018173466,35.13674503953611,66.25,60.64226803776802
dwarfs,0.0,19.437257994444057,0.0,41.252195833740636,15.172363457046174,21.19117346695138,96.38814075605644,97.70739627581366,37.9907821897797,32.024723011106275,76.00261917720248,60.21747247948499,75.01059877922933,10.08160788499863,98.11948306601897,0.0,45.80292243256173,0.0,0.0,3.0336084788722246,35.0,9.508402119718056
empire,53.19105781004531,10.006421062766979,40.245909573727616,48.79396782056132,38.05933906677531,2.3553992191832203,100.0,99.951303992002,0.0,62.33100733699038,70.92506611554826,55.92712944395398,7.491296566901779,20.151438478754482,76.05234974341484,0.0,25.923771197267776,34.89858445764529,61.864381778257055,0.0,100.0,49.19074155897559
grand_cathay,44.45239093007491,24.96080689511698,51.3163910727394,61.720047408758376,45.61240907667242,34.823272671686915,83.96090812953815,69.67261243440414,6.943482352427951,45.82594351291991,36.62896351822635,46.309197103200574,16.170642799168164,26.188539047138885,60.94211114168489,0.0,25.825323246997986,96.17029591575118,45.77704000344624,30.06879481931801,93.75,66.44153268462887
greenskins,73.44327148701511,29.521664658295744,58.61151626199681,65.86146434780777,56.85947918877886,64.99215533259596,63.74107719122641,84.15234146918655,33.750917602950764,46.71793236778766,45.956263307448815,56.55178121186603,31.955127773360402,42.856081819757534,67.21785969037239,53.715879807869136,48.93623727283987,97.39762170805122,42.77719388128482,38.79750425411228,41.25,55.05557996086208
high_elves,65.0997689240201,35.22753337920807,62.8684717001598,96.4811461923003,64.91923004892206,65.52950769359852,68.90405673008523,31.06564801430525,28.36535862870762,54.66167766924437,78.17178907902904,54.44967296916167,59.67312750009323,73.0747906525807,97.07706384074115,13.064787011603132,60.722442251254556,100.0,57.243951496689405,43.09802506058887,100.0,75.08549413931956
khorne,74.41596462709057,21.875435261791242,66.57671575214046,63.162249782088885,56.507591355777784,81.6227835177609,50.395046958430484,19.695870181482,70.72631600993542,53.38359820256743,39.955879247468644,52.62991568627415,100.0,25.095210791948205,65.15541653229684,35.76422758078882,56.50371372625847,68.80468697753739,56.01857665268583,18.00837228053233,0.0,35.70790897768889
kislev,77.07642170541278,51.8626777674301,71.83998154416574,57.34848586095958,64.53189171949205,76.0300850746424,63.766979983482194,0.0,59.71536317007714,37.58176004985222,54.00775349873625,48.516990296131695,33.1553455403264,43.81757723192582,63.898496614625735,0.0,35.21785484671949,71.76555990207451,54.11167661780484,58.28622841160246,77.5,65.41586623287046
lizardmen,74.73009961563194,49.893344191540656,54.5968215673621,93.46032579662403,68.17014779278969,85.5039397512019,79.05988798895451,63.51727577921959,97.39565492009929,82.45775125359643,100.0,84.65575161551195,65.0804497271559,76.71243862326288,54.14610907284182,0.0,48.98474935581515,74.39795841458084,47.52614409076909,97.36760686845766,100.0,79.8229273434519
norsca,75.35303399693406,21.315827776164788,68.07077700825947,80.38019518165066,61.27995849075225,83.48660789540402,41.29348635287747,33.40022610748053,51.57779420242998,36.61794013480764,41.841938596301695,48.03633221488355,48.737547516890196,69.96530486210402,79.69903384953206,63.47151910519465,65.46835133343023,69.964325300467,38.418523538833995,79.94489911676524,71.25,64.89443698901655
nurgle,71.05680537555305,23.30857638351755,57.58299508104508,46.25600534889171,49.55109554725185,75.85983610769286,39.06254300152952,24.167229095761297,19.197061290610993,38.58374936875986,35.1282078232381,38.666437781265444,66.06435885941839,28.413575968942908,71.18133244301963,50.246360843796495,53.976407028794355,71.02693875604426,79.55162577949177,100.0,52.5,75.76964113388401
ogre_kingdoms,34.087810914078155,19.238126140085697,73.63773196230552,100.0,56.74091725411734,90.05639426008227,71.03758589531749,57.151950238581016,43.82816919301446,100.0,48.66740888492725,68.45691807865374,33.370357132071106,17.82735476333395,73.53109897543641,0.0,31.182202717710368,67.7434075729177,100.0,46.27585140034532,71.25,71.31731474331576
skaven,57.722763831045036,40.888440810027014,45.36830915667291,47.77749908570509,47.93925322086251,34.35494816760636,76.21796535731126,73.94131971744211,60.57146449016256,23.75305272001474,31.805467974495226,50.10736973783872,0.7157024681857117,10.588777476009463,39.88946995746566,32.73354105485974,20.981872739130143,82.60596182874934,16.70233770310438,48.759861805806196,53.75,50.45454033441498
slaanesh,90.09094359766652,71.6054321856943,95.76917275251523,58.04210623871886,78.87691369364873,72.39126429803471,28.02451936595183,0.0,61.24947014891126,34.90926605396217,0.0,32.76241997780999,53.59991719566824,77.67074034359521,87.43616450343069,0.0,54.676705510673536,62.25994556396014,82.8344554480023,81.31800134068992,47.5,68.47810058816309
tomb_kings,39.90605355517157,23.45189049569019,49.4165255683274,83.9712950261126,49.18644116132544,45.58765737072406,75.54870429456997,80.22156106701469,60.02892432789147,40.6556374129614,39.537587723547645,56.93001203278487,27.613806672127836,7.597216966508438,10.973934420574693,0.0,11.546239514802743,91.58586436119577,70.07545695659266,77.18248852678799,63.74999999999999,75.6484524611441
tzeentch,67.97020620751188,41.31067808675066,54.85008865033855,69.36885085696254,58.3749559503909,73.8940839157037,81.35405258200272,30.198451218660843,82.21626380914172,63.26385205018628,85.40825888443744,69.38916041002211,56.08256019349323,48.869963800881806,72.98399315575108,100.0,69.48412928753153,72.38673686253425,89.66708678414801,54.47193283908559,53.75,67.56893912144196
vampire_coast,38.10858868539996,37.95527864756048,15.910703655109172,80.86839253541226,43.21074088087047,73.72473005059017,83.60430235945827,80.88984505161238,23.422083236780303,0.0,40.178317474035715,50.30321302874614,14.975005993748589,37.85102900748983,45.06062388573343,51.96656943829592,37.46330708131694,69.4817739627644,43.84420237749498,76.34713556437889,58.75,62.105777976159565
vampire_counts,67.9027027604685,50.56692051875203,47.82318767402375,57.71732874549177,56.002534924684014,47.511164369004064,0.0,0.0,38.51959276361188,24.546128608171813,19.475115978282904,21.67533361984511,15.134091991350733,50.45545303495364,0.0,90.346039695845,38.98389618053734,36.23211480745854,50.87346245326318,79.78136440983856,63.74999999999999,57.65923541764007
warriors_of_chaos,90.0070303441905,42.20149610075852,86.11121949207771,78.48866890688585,74.20210371097815,87.7354258545323,54.28414290650572,60.91515105947012,58.67789150960936,52.41042794045197,37.670384429003136,58.61557061659544,94.04497389967374,71.23246000279991,100.0,64.58799670773594,82.4663576525524,95.8670852156426,56.359065657488216,81.46900636141763,88.75,80.61128930863711
wood_elves,79.4256734378725,99.99999999999999,55.01083374945718,53.28546547629116,71.9304931659052,37.141692953952735,59.83501409036122,0.0,36.49925143346549,36.15322451904006,8.318771658975862,29.657992442632562,40.19715240217189,80.2017398361586,76.10524220193071,0.0,49.1260336100653,70.2679830696797,51.52710069058977,37.86695437291012,81.25,60.2280095332949
