race,movement__breadth,movement__ceiling,movement__access,movement__campaign_access,deployment__breadth,deployment__ceiling,deployment__access,deployment__campaign_access,shock__breadth,shock__ceiling,shock__access,shock__campaign_access,contact_authority__breadth,contact_authority__ceiling,contact_authority__access,contact_authority__campaign_access,melee_pressure__breadth,melee_pressure__ceiling,melee_pressure__access,melee_pressure__campaign_access,missile_pressure__breadth,missile_pressure__ceiling,missile_pressure__access,missile_pressure__campaign_access,bombardment__breadth,bombardment__ceiling,bombardment__access,bombardment__campaign_access,target_solutions__breadth,target_solutions__ceiling,target_solutions__access,target_solutions__campaign_access,burst__breadth,burst__ceiling,burst__access,burst__campaign_access,sustain__breadth,sustain__ceiling,sustain__access,sustain__campaign_access,material_durability__breadth,material_durability__ceiling,material_durability__access,material_durability__campaign_access,avoidance__breadth,avoidance__ceiling,avoidance__access,avoidance__campaign_access,morale__breadth,morale__ceiling,morale__access,morale__campaign_access,restoration__breadth,restoration__ceiling,restoration__access,restoration__campaign_access,battlefield_control__breadth,battlefield_control__ceiling,battlefield_control__access,battlefield_control__campaign_access,role_coverage__breadth,role_coverage__ceiling,role_coverage__access,elite_orientation__breadth,elite_orientation__ceiling,elite_orientation__access,command_magic__breadth,command_magic__ceiling,command_magic__access
beastmen,0.5885448916408669,0.8767611683848796,0.8880369415807561,0.8978092783505154,0.6338235294117647,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.5970588235294118,0.7335615154810978,0.6514591487438514,0.6797900750712371,0.5702614379084967,0.7249856063679747,0.49522962190150505,0.5817113545470353,0.6101960784313726,0.8972329932958519,0.6352382496280838,0.7121090245174753,0.058823529411764705,0.48753883418885713,0.38620109020608195,0.5976443546857391,0.05401069518716578,0.2519229012514844,0.0629807253128711,0.453461222252672,0.5201680672268907,0.5761172936107729,0.44157107338820295,0.47755272996000697,0.5747058823529412,0.5585595383104868,0.43619144287949574,0.5171643450973654,0.45560224089635853,0.4431773471192481,0.3240584008699083,0.49394798219874536,0.49052287581699344,0.5724926336080854,0.5142615734707218,0.5179361994249477,0.7982352941176472,0.4593927120988977,0.4300635683045477,0.4576322131476771,0.46176470588235297,0.48491083676268865,0.5121881430041153,0.5285545267489713,0.026470588235294117,0.2633333333333333,0.21944444444444441,0.21066666666666664,0.3647058823529412,0.44,0.33666666666666667,0.392,0.8333333333333334,0.8337138780370538,0.625,0.20588235294117646,0.6666666666666666,0.9155393804550443,0.5,0.4,1.0
bretonnia,0.5302631578947368,0.7404639175257732,0.7821305841924399,0.7704639175257731,0.1375,0.6,0.425,0.48,0.5066176470588235,0.7002775759521698,0.6565969771169643,0.6735586833484626,0.4041666666666666,0.4232510288065844,0.4189300411522634,0.41806584362139915,0.36416666666666664,0.6535882165420507,0.452824388029135,0.5201013446936764,0.11102941176470588,0.6579757979589635,0.6918848120451294,0.7218835959944381,0.12272727272727273,0.8551795012332145,0.7297227550927193,0.7114606741573033,0.41964285714285715,0.475611668985104,0.4775535414130874,0.4775535414130875,0.48,0.46008336734346833,0.4142062344755719,0.4273020634205597,0.41964285714285715,0.40410819079575705,0.386190998740741,0.3994571655098036,0.3472222222222222,0.5375989405860975,0.4383223045326998,0.48959916414052157,0.41,0.3645618556701031,0.3166351741379975,0.32298998030812004,0.5125,0.49914351851851846,0.45209726508916326,0.4650540123456789,0.0,0.0,0.0,0.0,0.15750000000000003,0.2,0.17999999999999997,0.188,0.6666666666666666,0.6927961556398367,0.375,0.16666666666666666,0.5333333333333333,0.9090945600684363,0.375,1.0,1.0
chaos_dwarfs,0.4422750424448217,0.6864261168384881,0.7327534364261169,0.6719587628865978,0.09274193548387097,0.38333333333333336,0.5041666666666667,0.44000000000000006,0.5808349146110057,0.7001259704429721,0.6059265402047714,0.5934584006085359,0.6867383512544802,0.7035976351938794,0.5656405166251279,0.5631134295484843,0.5664516129032259,0.8172059931606097,0.547980369356054,0.6392382049498637,0.3347248576850095,0.7518756797654514,0.6607832183410612,0.6555473887177132,0.2809384164222874,0.8377272312048962,0.6136886818306384,0.7056618251575775,0.5781874039938556,0.5725429876929616,0.48253437807917465,0.5152933982495799,0.6251612903225806,0.6896423859833699,0.46084236130270834,0.5349098355498848,0.6453149001536098,0.5934195414303218,0.48826710032671256,0.5410714141156484,0.5523297491039426,0.7048793301208386,0.5708338610434364,0.5990396429393254,0.5070967741935484,0.41040746195385375,0.316161642278722,0.3463828393314088,0.5458064516129032,0.543698559670782,0.4410684585048011,0.4787975823045268,0.0,0.0,0.0,0.0,0.35096774193548386,0.34,0.24166666666666667,0.276,1.0,0.7888747076134583,0.625,0.3225806451612903,0.4666666666666667,0.8002429419131148,0.5,0.6,1.0
daemons_of_chaos,0.7053168635875403,0.9220790378006872,0.9450601374570443,0.9417268041237111,0.4173469387755102,0.7000000000000001,0.7000000000000001,0.6900000000000001,0.6904561824729892,0.9495601566242685,0.8191207639047399,0.8555638541161554,0.6232426303854876,0.7523207558105837,0.5283390811259877,0.5970408624587028,0.7105442176870748,0.9462268880774358,0.6593413464325044,0.7393878166116038,0.22899159663865545,0.798513039143332,0.6259851007943505,0.641828804574506,0.0577922077922078,0.5143235589659269,0.2607186900520691,0.4024938339271033,0.6503401360544218,0.6905314051662512,0.563140776241813,0.5753891352228598,0.5810204081632653,0.6349789198985255,0.46898200747304636,0.5272312776358759,0.6136054421768707,0.7294536055885672,0.5041966446173317,0.5825707995921087,0.6285714285714286,0.733287002747551,0.6630438210572805,0.6880808932379615,0.6624489795918368,0.510231090003475,0.48412017487512676,0.48757023788212245,0.5702040816326531,0.5855401234567902,0.5109028849451305,0.5169485596707819,0.32864992150706435,0.4833333333333334,0.44694444444444453,0.3933333333333333,0.6487755102040816,0.44,0.38999999999999996,0.42800000000000005,0.8333333333333334,0.8388373863073464,0.7083333333333334,0.2857142857142857,0.4,0.7240658882488303,0.0,0.0,0.25
dark_elves,0.4673321234119782,0.7125859106529209,0.7236469072164948,0.743556701030928,0.21982758620689655,0.5666666666666667,0.5749999999999998,0.54,0.5653144016227181,0.6797265590988039,0.6556848926804931,0.6664718822961819,0.5812260536398467,0.6944568094437683,0.5661208678683901,0.6261131397438128,0.5531034482758621,0.8717350364187869,0.6512595695917618,0.7670383846287601,0.29350912778904664,0.7012177662285173,0.6040204976790787,0.5727309241940977,0.03103448275862069,0.4445921256965379,0.4150280898876404,0.44269662921348313,0.5558292282430214,0.5575150456925365,0.473973046958017,0.4935051150524547,0.523448275862069,0.6595967145724382,0.5220261987454836,0.594352441893653,0.5955665024630542,0.6761680265011246,0.4497010893953874,0.5558946103200393,0.4509578544061303,0.6553437437320189,0.48169703007974224,0.5581129484131688,0.5537931034482758,0.40197363835438665,0.35120231037351385,0.3905020752443433,0.4627586206896552,0.5222998113854596,0.4495251414609054,0.4903359053497943,0.051458885941644564,0.16666666666666666,0.041666666666666664,0.2,0.30758620689655175,0.27999999999999997,0.20666666666666667,0.27199999999999996,1.0,0.8800079565891423,0.625,0.1724137931034483,0.4,0.7296742909465642,0.625,0.4,1.0
dwarfs,0.3441295546558705,0.5516752577319588,0.43307560137457046,0.455798969072165,0.1576923076923077,0.55,0.5291666666666667,0.5,0.3,0.479929094566057,0.3930455794684204,0.41752002048672354,0.4658119658119658,0.5957031627349832,0.5407720396452792,0.556535443111343,0.44153846153846155,0.6779844568094439,0.5267805599026255,0.5957312641279777,0.40226244343891404,0.8789318554672314,0.708602964939644,0.7036097402452496,0.241958041958042,0.8069288389513107,0.7049842422581528,0.7374623184434091,0.5065934065934066,0.5451683765142293,0.507837368863386,0.526123920477598,0.45384615384615384,0.5332937846173051,0.4163156510903326,0.4663403995708024,0.5717948717948718,0.6311380133072467,0.512635944788979,0.5605927094303014,0.5786324786324786,0.7519898064623242,0.7563448910096683,0.7826169161621529,0.42615384615384616,0.39607417274798257,0.3583844936097919,0.3542925402525194,0.6092307692307691,0.6299022633744857,0.5760548482510287,0.5887615740740741,0.0,0.0,0.0,0.0,0.15384615384615383,0.16,0.13999999999999999,0.156,0.5,0.5792923768323578,0.3333333333333333,0.05128205128205128,0.0,0.6916553168580589,0.0,0.4,1.0
empire,0.5052631578947369,0.7632731958762887,0.738305412371134,0.776159793814433,0.09772727272727272,0.43333333333333335,0.6333333333333334,0.54,0.4433155080213904,0.67900303891075,0.5615402555747694,0.6319731358501535,0.5333333333333333,0.6327995131281517,0.41638913039278186,0.4923666608705733,0.3806060606060606,0.6806737475608107,0.41857169163816915,0.4908746884599779,0.3994652406417112,0.8927708656667462,0.7751084368135377,0.7996986162406228,0.2545454545454546,0.8333881428701928,0.7304055905727597,0.7011893669498492,0.4398268398268398,0.4716139222164262,0.4354410887478506,0.4182392917173825,0.5181818181818182,0.6836006337435725,0.4695867088124966,0.6133011704940903,0.5424242424242425,0.6795157907307471,0.43905481768692134,0.556052273914236,0.3808080808080808,0.5530768204014934,0.4560066171712807,0.5029061442356482,0.4818181818181818,0.3740047878296459,0.379402196996023,0.3552137148152438,0.47090909090909094,0.5727752057613169,0.619592656893004,0.6008827160493828,0.0,0.0,0.0,0.0,0.12,0.18666666666666668,0.12000000000000004,0.15999999999999998,0.6666666666666666,0.7335513543079776,0.4166666666666667,0.18181818181818182,0.5333333333333333,0.8570953175528364,1.0,1.0,1.0
grand_cathay,0.4776769509981851,0.7260309278350515,0.7043492268041237,0.7167525773195876,0.19482758620689655,0.5333333333333333,0.5666666666666668,0.54,0.5004056795131846,0.6919937724345635,0.6409312221132965,0.6707845097684471,0.6122605363984674,0.560082304526749,0.48262915628199926,0.522756737958616,0.4420689655172414,0.7943329903978052,0.5643642470391622,0.650034153480554,0.25963488843813387,0.8221785658053692,0.7227416891019152,0.7573195560450839,0.08808777429467085,0.6898511007581987,0.5106330501507262,0.626821046862154,0.42791461412151066,0.5240714658320292,0.44838684455843425,0.45667463629513705,0.5434482758620689,0.5074958462305384,0.44131923675173246,0.4797965626372859,0.5367816091954023,0.455846569773787,0.3951351047642328,0.40221306681050323,0.39770114942528734,0.5916114787778662,0.5191320580886183,0.5225594366057769,0.5131034482758621,0.3992386508429599,0.325129238931654,0.35405684319155883,0.5124137931034483,0.4338503086419753,0.4515792181069958,0.46174742798353907,0.0,0.0,0.0,0.0,0.25655172413793104,0.2866666666666667,0.2416666666666667,0.26399999999999996,1.0,0.902596537913486,0.5833333333333334,0.13793103448275862,0.4,0.8286027120208036,0.875,1.0,1.0
greenskins,0.5708978328173374,0.8440721649484536,0.8641752577319588,0.8708762886597938,0.22794117647058826,0.55,0.5499999999999999,0.55,0.5058823529411764,0.7544739998069252,0.6928908706074478,0.7174536940616552,0.5098039215686274,0.7119291330976255,0.5920678046330107,0.6049650495565988,0.503921568627451,0.932892323074248,0.6474816215537395,0.7654124210282269,0.16470588235294117,0.6448852005552713,0.6169453317591908,0.5948770398276804,0.15026737967914439,0.7460126061934776,0.7330318808806067,0.6397369142230749,0.49663865546218483,0.545802589887749,0.49788591114588754,0.5082831971251377,0.49411764705882355,0.5730541449031671,0.46551316711601753,0.5441239023944966,0.5582633053221289,0.47274365139957747,0.39311707184552214,0.4660916770809438,0.4640522875816993,0.6337074897725078,0.5396567690009918,0.5660306727932631,0.56,0.4096583544067038,0.39487448244253537,0.4076823454548464,0.5423529411764706,0.4668672839506172,0.44256751543209866,0.45898379629629626,0.13936651583710408,0.39999999999999997,0.275,0.33999999999999997,0.25999999999999995,0.4000000000000001,0.2633333333333333,0.284,1.0,0.9226750534014639,0.5833333333333334,0.13725490196078433,0.4666666666666667,0.7167447419735878,0.125,0.4,1.0
high_elves,0.616140350877193,0.7803264604810997,0.7366301546391751,0.6793298969072165,0.325,0.55,0.47083333333333327,0.44000000000000006,0.5980392156862745,0.7186337335484737,0.6395011729990382,0.6171517875832151,0.6555555555555556,0.7601051024942523,0.5647649684112909,0.5851607256708978,0.5466666666666666,0.8865054386676713,0.6397569444444445,0.7078086129948415,0.203921568627451,0.6602154645057275,0.6337876152380102,0.6465028380788732,0.006666666666666667,0.18838951310861426,0.42387640449438196,0.45213483146067424,0.52,0.4948926756699317,0.4665468867733147,0.46372680113603426,0.5466666666666666,0.576292658521988,0.4881834728671315,0.5035133267591101,0.6428571428571428,0.5441569658646911,0.47174123143328495,0.5334292872058354,0.5777777777777777,0.710292823442891,0.5839172374385257,0.639977681195301,0.66,0.48886008485510396,0.4084757368534011,0.43723346386036066,0.6933333333333334,0.5198478223593964,0.5025075017146777,0.5171031378600823,0.04410256410256411,0.11666666666666665,0.0,0.06999999999999999,0.36000000000000004,0.32,0.19833333333333333,0.24800000000000005,1.0,0.8819154956445004,0.6666666666666666,0.26666666666666666,0.4,0.7490442331657594,1.0,1.0,1.0
